AUTHORS,ADDRESS,JOURNAL,TITLE,# PGS,YEAR,ABSTRACT,REFERENCED,Entered date,TYPE,Themes,
TAN J. M. L.,,"Bookmark Inc., Makati City",A field guide to whales and dolphins of the Philippines,,1995,,,,Book,Review,
"Aragones, L.V. and G.E. Laule (eds).",,"A Wildlife in Need (WIN) and Ocean Adventure publication. Subic Bay, Freeport. 106 p + viii."," Marine mammal stranding response manual – A guide for the rescue, rehabilitation, and release of stranded cetaceans and dugongs in the Philippines. ",,2008,,,,Book,Review,
AQUINO M. T. R.,,"Tubbataha Management Office and the CI-Phils, Quezon City, Phils, 50pp","Field guide to marine mammals and sea turtles in Palawan, Philippines",,2009,,,,Book,Review,
"ALAVA, M. N. R.; MLL DOLAR; EDNA R. SABATER; TERESA R. AQUINO; MUDJEKEEWIS D. SANTOS",,"Bureau of Fisheries and Aquatic Resources-NFRDI, Philippines",Red List Status of Marine Mammals in the Philippines,,2012,,,,Book,Conservation,
"Aragones, L.V., G.E. Laule, B.G. Espinos (eds).",,"2nd Ed. A Wildlife in Need (WIN) and Ocean Adventure publication. Subic Bay, Freeport. 141 p + iii.","Marine mammal stranding response manual – A guide for the rescue, rehabilitation, and release of stranded cetaceans and dugongs in the Philippines. ",,2013,,,,Book,Review,
"L.V. Aragones, L.J. Suarez, B.G. Espinos, G. Laule.  ",,"A Philippine Marine Mammal Stranding Network, Inc publication. ISBN 978-261-95396-0-9.",PMMSN Field guide to the whales and dolphins of the Philippines.,,2015,,,,Book,Review,
ALAVA M. N R.,,"Wildlife Conservation Society of the Philippines and Bookmark, Inc.","Cetaceans, In: Philippine Red Data Book",,1997,,,,Book Chapter,Conservation,
YAPTINCHAY A. A. S. P.,,"Wildlife Conservation Society of the Philippines and Bookmark, Inc.",Sirenian. In: Philippine Red Data Book,,1997,,,,Book Chapter,Conservation,
EVACITAS FLORENCE C.,,In: Sustainable Tourism: Challenges for the Philippines,"Impact of Whale Watching on our Cetaceams amd Coastal Populations in Bais City, Philippines",,2005,,,,Book Chapter,Sociopolitics and Governance,
"ACEBES, J. M. V.",,Unsettled Seas: Historical Perspectiv es of Fisheries Exploitation in the Indo-Pacific. Springer,A History of Whaling in the Philippines: A Glimpse of the Past and Current Distribution of Whales,,2014,,,,Book Chapter,Fisheries and Bycatch,p
"ACEBES, J. M. V.",,"Paper submitted to the convention on migratory species; second international conference on the marine mammals of Southeast Asia, 22-23 July 2002, Dumaguete City","Occurrence of humpback whales (Megaptera novaeangliae) in the Babuyan Islands, Northern Luzon, Philippines.",,2002,,,,Conference full paper,Diversity and Distribution,p
"ACEBES, J. M. V.",,Oceans Past III,"Tales of the ""Large Fish"": changing perceptions of marine mammals in the Sulu-Sulawesi Sea",,2010,,,,conference full paper,Sociopolitics and Governance,p
"ACEBES, J. M. V.",,4th Symposium on Whaling and History,Local whaling in the Philippines: community adaptations and resilience,,2013,,,,conference full paper,Fisheries and Bycatch,p
"ARAGONES, LEMNUEL V.; STEPHEN LEATHERWOOD; MARIA LOUELLA DOLAR and CYNTHIA HILL.","University of Philippines at Los Banos, College, Laguna, 4013 Philippines.","In: Ninth Biennial Conference on the Biology of Marine Mammals. 5-9 December, Chicago, IL. p.2. 1991. Abstract only.",Species composition of Philippine marine mammal fauna.,,1991,,,,conference presentation,Diversity and Distribution,p
"DOLAR, MARIA LOUELLA L.; STEPHEN LEATHERWOOD; LEMNUEL V. ARAGONES and CYNTHIA L. HILL.","Marine Laboratory, Silliman University, Dumaguette City, 6200 Philippines.","In: Ninth Biennial Conference on the Biology of Marine Mammals. 5-9 December, Chicago, IL. p.18. 1991. Abstract only.","Directed fisheries for whales and dolphins in Palawan, the Southern Visayas and the Mindanao Sea, Philippines.",1,1991,,,03-Jul-07,Conference presentation,Fisheries and Bycatch,p
"DOLAR, M. L.; C. WOOD; M. ALAVA and S. LEATHERWOOD.","Scripps Institution of Oceanography, La Jolla, CA 92093-0204.","In: Tenth Biennial Conference on the Biology of Marine Mammals. 11-15 November, Galveston, TX. p.42. 1993. Abstract only.",Incidental takes of cetaceans in a Philippine indigenous driftnet fishery.,,1993,,,,conference presentation,Fisheries and Bycatch,p
